Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1835,1382,Tragamillas,Cabinda,Havana,284,270,,,
1835,1383,Tita,"Whydah, Ouidah","Cuba, port unspecified",402,393,9,,24
1835,1384,Tres Tomasas,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1835,1385,General Mina,"Africa, port unspecified",Havana,284,270,,,
1835,1386,Fênix,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1835,1387,Luisita,Bonny,Havana,284,270,,,
1835,1388,Feliz Vascongada,Bonny,Havana,284,270,,,
1835,1389,Numero Uno (a) Rosalia,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1835,1390,Diligência,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1835,1391,Matilde,"Africa, port unspecified",Havana,735,700,,,
1835,1392,General Mina,São Tomé,Havana,284,270,,,
1835,1393,Flor de la Mar,Princes Island,Havana,284,270,,,
1835,1394,Mariposa,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1835,1395,Mismo (a) Centinela,São Tomé,Havana,284,270,,,21
1835,1396,Amália,Congo River,Havana,207,200,7,,19
1835,1397,Alcatraz,São Tomé,Havana,284,270,,,
1835,1398,Três Manoelas,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1835,1399,Severo,Congo River,Havana,411,369,,,
1835,1400,Amable Salomé,São Tomé,Havana,284,270,,,
1835,1401,Cristineta,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1835,1402,Fortuna,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1835,1403,Diligência,Mayumba,Havana,210,120,90,57,25
1835,1404,Pronta,São Tomé,Havana,284,270,,,
1835,1405,Catalana,São Tomé,Havana,481,430,,,
1835,1406,Mosca,"Africa, port unspecified",Havana,284,270,,,
1835,1407,Deseada,"Africa, port unspecified",Havana,284,270,,,
1835,1408,San Pedro (a) Vengador,"Sierra Leone, port unspecified","Cuba, port unspecified",284,270,,,
1835,1409,Tragamillas (Correo Numero 1),Gallinhas,Havana,284,270,,,
1835,1410,Josefina,"Bight of Benin, place unspecified","Cuba, port unspecified",307,277,,,
1835,1411,Gazeta,"Africa, port unspecified",Matanzas,307,277,,,
1835,1412,Carmen,"Africa, port unspecified",Matanzas,535,440,,,
1835,1413,Pronto,"Africa, port unspecified",Matanzas,490,444,,,
1835,1414,Estrella Cubana,"Africa, port unspecified",Santiago de Cuba,307,277,,,
1835,1415,Dos Hermanos,"Africa, port unspecified",Santiago de Cuba,490,444,,,
1835,1416,Dos Hermanos,"Africa, port unspecified",Santiago de Cuba,307,277,,,
1835,1417,Aquila Vengadora,"Africa, port unspecified",Trinidad de Cuba,490,444,,,
1835,1418,Feliz,"Africa, port unspecified",Matanzas,535,440,,,
1835,1419,General Laborde,"Africa, port unspecified",Trinidad de Cuba,307,277,,,22
